100 300
1 65 69
1 13 65
1 36 59
1 70 86
1 6 29
1 90 38
1 30 8
1 9 61
1 63 46
1 75 78
1 94 88
1 90 52
1 78 67
1 97 53
1 39 27
1 95 100
1 8 70
1 90 95
1 53 89
1 75 12
1 21 30
1 40 22
1 57 61
1 92 93
1 26 25
1 77 23
1 51 6
1 2 26
1 6 71
1 23 16
1 13 54
1 45 100
1 94 77
1 24 50
1 61 24
1 56 61
1 40 31
1 86 77
1 17 8
1 22 8
1 27 49
1 82 77
1 5 53
1 38 70
1 14 48
1 38 7
1 74 45
1 67 24
1 3 29
1 31 10
80 100 74
85 100 64
79 100 59
74 100 71
48 100 29
76 100 55
98 100 89
44 100 76
97 100 53
8 100 3
38 100 68
44 100 93
65 100 61
22 100 59
66 100 68
72 100 59
83 100 1
13 100 84
30 100 3
77 100 65
80 100 88
30 100 9
77 100 92
66 100 44
38 100 97
97 100 4
77 100 62
27 100 92
20 100 12
62 100 90
21 100 73
59 100 52
14 100 52
72 100 100
88 100 64
23 100 19
52 100 29
36 100 24
67 100 81
87 100 60
5 100 97
37 100 99
78 100 15
72 100 18
51 100 75
11 100 16
26 100 100
20 100 57
71 100 27
82 100 8
8 41 33
99 83 25
86 57 76
20 94 52
82 50 10
75 95 65
38 68 46
24 49 89
51 99 93
79 97 28
85 75 25
85 10 100
60 19 92
98 67 51
30 73 67
3 77 90
84 80 17
85 78 17
79 92 83
24 93 52
78 6 20
50 59 61
19 24 30
15 95 7
4 43 82
21 75 6
56 20 53
85 47 84
4 44 35
17 77 69
17 45 61
41 5 61
98 27 29
81 76 77
44 19 18
88 23 92
79 81 51
76 69 90
67 59 50
47 96 50
31 46 29
81 95 67
24 38 21
3 62 70
65 21 80
63 12 58
27 5 67
78 6 61
32 52 16
78 43 92
19 65 19
63 35 63
26 46 37
99 37 16
77 24 50
99 25 15
79 4 8
38 22 100
36 13 82
79 24 49
22 90 98
58 75 54
78 62 69
98 33 19
40 43 10
88 70 77
97 63 92
54 37 53
9 83 3
83 75 39
24 48 33
26 40 74
74 41 49
20 30 82
92 98 79
25 70 99
12 92 97
65 78 38
53 89 54
58 47 37
23 12 95
41 23 72
52 9 100
22 48 79
10 61 4
54 75 15
61 16 69
18 66 90
33 50 49
37 72 12
68 89 55
62 46 29
97 92 16
9 25 59
26 38 38
69 59 25
10 31 5
2 41 98
23 48 30
36 25 14
84 49 1
71 14 48
66 80 43
89 61 37
54 75 26
41 66 98
29 38 61
20 48 29
27 15 99
28 81 96
48 88 89
84 53 90
82 37 18
2 83 51
32 8 21
97 47 50
91 97 26
3 30 79
61 17 19
99 64 86
26 55 23
60 51 36
18 63 90
18 89 21
9 15 79
71 91 87
32 56 43
48 90 24
67 94 85
40 34 14
74 78 31
63 49 2
91 74 99
98 45 38
63 90 78
23 84 100
90 99 84
24 30 77
96 67 56
51 56 76
2 31 84
37 23 25
19 63 74
57 6 1
96 20 3
68 74 86
35 90 55
24 6 40
54 79 45
98 29 50
98 36 76
79 17 53
59 79 20
83 91 66
78 69 89
47 79 1
54 28 13
10 81 28
42 74 19
83 86 38
31 41 46
52 78 27
79 96 49
8 46 48
74 75 20
64 99 64
94 9 57
94 34 38
9 34 34
38 5 55
99 68 2
24 91 28
65 2 27
62 64 65
66 50 7
96 22 72
98 10 50
76 57 41
81 45 83
70 28 59
37 5 13
40 24 47
9 81 28
64 24 13
77 58 10
78 4 59
19 97 7
35 2 62
82 22 30
20 58 62
49 62 6
97 78 9
70 75 81
19 29 54
29 75 5
87 72 46
62 85 98
14 87 51
91 52 74
10 84 41
